objectid,so2,no2,o3,co,pm10,pm25,fecha_carga,calidad_ambiental,fecha_descarga
22,,"50,00",,,"22,00","8,00",2023-05-03 10:20:00,Razonablemente Buena,2023-05-03 9:00:00
27,"4,00","35,00","32,00",,"12,00","8,00",2023-05-03 10:20:00,Buena,2023-05-03 9:00:00
25,"2,00","22,00","21,00","0,30","9,00","4,00",2023-05-03 10:20:00,Buena,2023-05-03 9:00:00
26,"4,00","28,00","25,00","0,70","7,00","3,00",2023-05-03 10:20:00,Buena,2023-05-03 9:00:00
28,"2,00","29,00","24,00",,,,2023-05-03 10:20:00,Buena,2023-05-03 9:00:00
431,,"50,00",,,"25,00","10,00",2023-05-03 10:20:00,Razonablemente Buena,2023-05-03 9:00:00
23,"4,00","43,00","34,00","0,10","17,00","6,00",2023-05-03 10:20:00,Razonablemente Buena,2023-05-03 9:00:00
24,"8,00","40,00","13,00",,,,2023-05-03 10:20:00,Buena,2023-05-03 9:00:00
432,,"63,00",,,"24,00","11,00",2023-05-03 10:20:00,Razonablemente Buena,2023-05-03 9:00:00
430,,"43,00",,,"24,00","8,00",2023-05-03 10:20:00,Razonablemente Buena,2023-05-03 9:00:00
829,,"46,00",,,,,2023-05-03 10:20:00,Razonablemente Buena,2023-05-03 9:00:00
25,"2,00","34,00","25,00","0,30","9,00","4,00",2023-05-03 8:20:00,Buena,2023-05-03 7:00:00
27,"4,00","28,00","46,00",,"11,00","8,00",2023-05-03 8:20:00,Buena,2023-05-03 7:00:00
28,"2,00","32,00","36,00",,,,2023-05-03 8:20:00,Buena,2023-05-03 7:00:00
431,,"79,00",,,"24,00","10,00",2023-05-03 8:20:00,Razonablemente Buena,2023-05-03 7:00:00
430,,"33,00",,,"24,00","8,00",2023-05-03 8:20:00,Razonablemente Buena,2023-05-03 7:00:00
24,"8,00","62,00","16,00",,,,2023-05-03 8:20:00,Razonablemente Buena,2023-05-03 7:00:00
26,"4,00","36,00","34,00","0,70","7,00","3,00",2023-05-03 8:20:00,Buena,2023-05-03 7:00:00
22,,"47,00",,,"21,00","8,00",2023-05-03 8:20:00,Razonablemente Buena,2023-05-03 7:00:00
829,,"41,00",,,,,2023-05-03 8:20:00,Razonablemente Buena,2023-05-03 7:00:00
432,,"72,00",,,"24,00","11,00",2023-05-03 8:20:00,Razonablemente Buena,2023-05-03 7:00:00
23,"4,00","29,00","49,00","0,10","16,00","5,00",2023-05-03 8:20:00,Buena,2023-05-03 7:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 12:20:00,Razonablemente Buena,2023-05-03 6:00:00
430,,"20,00",,,"24,00","7,00",2023-05-03 7:20:00,Razonablemente Buena,2023-05-03 6:00:00
25,"2,00","26,00","31,00","0,30","9,00","4,00",2023-05-03 7:20:00,Buena,2023-05-03 6:00:00
27,"3,00","15,00","53,00",,"11,00","8,00",2023-05-03 7:20:00,Razonablemente Buena,2023-05-03 6:00:00
22,,"30,00",,,"21,00","8,00",2023-05-03 7:20:00,Razonablemente Buena,2023-05-03 6:00:00
829,,"26,00",,,,,2023-05-03 7:20:00,Razonablemente Buena,2023-05-03 6:00:00
26,"3,00","25,00","42,00","0,70","7,00","3,00",2023-05-03 7:20:00,Buena,2023-05-03 6:00:00
28,"2,00","21,00","42,00",,,,2023-05-03 7:20:00,Buena,2023-05-03 6:00:00
23,"3,00","22,00","57,00","0,10","16,00","5,00",2023-05-03 7:20:00,Razonablemente Buena,2023-05-03 6:00:00
24,"5,00","42,00","18,00",,,,2023-05-03 7:20:00,Razonablemente Buena,2023-05-03 6:00:00
432,,"58,00",,,"20,00","11,00",2023-05-03 7:20:00,Razonablemente Buena,2023-05-03 6:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 12:20:00,Razonablemente Buena,2023-05-03 5:00:00
28,"2,00","18,00","49,00",,,,2023-05-03 6:20:00,Buena,2023-05-03 5:00:00
430,,"15,00",,,"24,00","7,00",2023-05-03 6:20:00,Razonablemente Buena,2023-05-03 5:00:00
829,,"20,00",,,,,2023-05-03 6:20:00,Razonablemente Buena,2023-05-03 5:00:00
24,"7,00","28,00","21,00",,,,2023-05-03 6:20:00,Buena,2023-05-03 5:00:00
26,"3,00","15,00","48,00","0,70","7,00","3,00",2023-05-03 6:20:00,Buena,2023-05-03 5:00:00
22,,"28,00",,,"21,00","8,00",2023-05-03 6:20:00,Razonablemente Buena,2023-05-03 5:00:00
23,"3,00","22,00","64,00","0,10","16,00","5,00",2023-05-03 6:20:00,Razonablemente Buena,2023-05-03 5:00:00
25,"2,00","21,00","38,00","0,30","10,00","4,00",2023-05-03 6:20:00,Buena,2023-05-03 5:00:00
27,"3,00","7,00","59,00",,"11,00","8,00",2023-05-03 6:20:00,Razonablemente Buena,2023-05-03 5:00:00
432,,"46,00",,,"20,00","11,00",2023-05-03 6:20:00,Razonablemente Buena,2023-05-03 5:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 12:20:00,Razonablemente Buena,2023-05-03 4:00:00
25,"2,00","19,00","45,00","0,30","10,00","4,00",2023-05-03 5:20:00,Buena,2023-05-03 4:00:00
26,"3,00","19,00","48,00","0,70","7,00","3,00",2023-05-03 5:20:00,Buena,2023-05-03 4:00:00
27,"3,00","8,00","65,00",,"11,00","8,00",2023-05-03 5:20:00,Razonablemente Buena,2023-05-03 4:00:00
829,,"21,00",,,,,2023-05-03 5:20:00,Razonablemente Buena,2023-05-03 4:00:00
432,,"43,00",,,"20,00","11,00",2023-05-03 5:20:00,Razonablemente Buena,2023-05-03 4:00:00
23,"3,00","18,00","66,00","0,10","15,00","5,00",2023-05-03 5:20:00,Razonablemente Buena,2023-05-03 4:00:00
24,"6,00","34,00","26,00",,,,2023-05-03 5:20:00,Buena,2023-05-03 4:00:00
28,"2,00","15,00","57,00",,,,2023-05-03 5:20:00,Razonablemente Buena,2023-05-03 4:00:00
22,,"41,00",,,"20,00","8,00",2023-05-03 5:20:00,Razonablemente Buena,2023-05-03 4:00:00
430,,"15,00",,,"24,00","7,00",2023-05-03 5:20:00,Razonablemente Buena,2023-05-03 4:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 12:20:00,Razonablemente Buena,2023-05-03 3:00:00
430,,"13,00",,,"23,00","7,00",2023-05-03 4:20:00,Razonablemente Buena,2023-05-03 3:00:00
28,"2,00","20,00","65,00",,,,2023-05-03 4:20:00,Razonablemente Buena,2023-05-03 3:00:00
26,"3,00","21,00","55,00","0,70","7,00","3,00",2023-05-03 4:20:00,Razonablemente Buena,2023-05-03 3:00:00
24,"9,00","35,00","32,00",,,,2023-05-03 4:20:00,Buena,2023-05-03 3:00:00
25,"2,00","20,00","52,00","0,30","10,00","4,00",2023-05-03 4:20:00,Razonablemente Buena,2023-05-03 3:00:00
27,"4,00","8,00","70,00",,"11,00","8,00",2023-05-03 4:20:00,Razonablemente Buena,2023-05-03 3:00:00
23,"3,00","8,00","74,00","0,10","15,00","5,00",2023-05-03 4:20:00,Razonablemente Buena,2023-05-03 3:00:00
829,,"17,00",,,,,2023-05-03 4:20:00,Razonablemente Buena,2023-05-03 3:00:00
432,,"47,00",,,"20,00","11,00",2023-05-03 4:20:00,Razonablemente Buena,2023-05-03 3:00:00
22,,"38,00",,,"20,00","8,00",2023-05-03 4:20:00,Buena,2023-05-03 3:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 12:20:00,Razonablemente Buena,2023-05-03 2:00:00
430,,"9,00",,,"23,00","7,00",2023-05-03 3:20:00,Razonablemente Buena,2023-05-03 2:00:00
28,"2,00","6,00","74,00",,,,2023-05-03 3:20:00,Razonablemente Buena,2023-05-03 2:00:00
27,"4,00","7,00","77,00",,"11,00","8,00",2023-05-03 3:20:00,Razonablemente Buena,2023-05-03 2:00:00
829,,"7,00",,,,,2023-05-03 3:20:00,Razonablemente Buena,2023-05-03 2:00:00
22,,"21,00",,,"20,00","7,00",2023-05-03 3:20:00,Buena,2023-05-03 2:00:00
26,"3,00","16,00","60,00","0,70","7,00","3,00",2023-05-03 3:20:00,Razonablemente Buena,2023-05-03 2:00:00
24,"8,00","34,00","40,00",,,,2023-05-03 3:20:00,Buena,2023-05-03 2:00:00
25,"2,00","20,00","59,00","0,30","10,00","4,00",2023-05-03 3:20:00,Razonablemente Buena,2023-05-03 2:00:00
432,,"46,00",,,"20,00","11,00",2023-05-03 3:20:00,Razonablemente Buena,2023-05-03 2:00:00
23,"3,00","7,00","78,00","0,10","15,00","4,00",2023-05-03 3:20:00,Razonablemente Buena,2023-05-03 2:00:00
27,"3,00","7,00","80,00",,"11,00","8,00",2023-05-03 0:20:00,Razonablemente Buena,2023-05-03 1:00:00
28,"2,00","6,00","77,00",,,,2023-05-03 0:20:00,Razonablemente Buena,2023-05-03 1:00:00
22,,"19,00",,,"20,00","7,00",2023-05-03 0:20:00,Buena,2023-05-03 1:00:00
25,"2,00","16,00","67,00","0,30","10,00","4,00",2023-05-03 0:20:00,Razonablemente Buena,2023-05-03 1:00:00
23,"3,00","1,00","81,00","0,10","14,00","4,00",2023-05-03 0:20:00,Razonablemente Buena,2023-05-03 1:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 10:20:00,Razonablemente Buena,2023-05-03 1:00:00
24,"8,00","31,00","47,00",,,,2023-05-03 0:20:00,Buena,2023-05-03 1:00:00
26,"3,00","21,00","63,00","0,70","7,00","2,00",2023-05-03 0:20:00,Razonablemente Buena,2023-05-03 1:00:00
430,,"4,00",,,"24,00","7,00",2023-05-03 0:20:00,Razonablemente Buena,2023-05-03 1:00:00
829,,"5,00",,,,,2023-05-03 0:20:00,Razonablemente Buena,2023-05-03 1:00:00
432,,"48,00",,,"20,00","11,00",2023-05-03 0:20:00,Razonablemente Buena,2023-05-03 1:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 12:20:00,Razonablemente Buena,2023-05-03 0:00:00
28,"2,00","9,00","80,00",,,,2023-05-03 1:20:00,Razonablemente Buena,2023-05-03 0:00:00
432,,"66,00",,,"20,00","10,00",2023-05-03 1:20:00,Razonablemente Buena,2023-05-03 0:00:00
22,,"18,00",,,"20,00","8,00",2023-05-03 1:20:00,Buena,2023-05-03 0:00:00
24,"7,00","33,00","54,00",,,,2023-05-03 1:20:00,Razonablemente Buena,2023-05-03 0:00:00
25,"2,00","13,00","72,00","0,30","10,00","4,00",2023-05-03 1:20:00,Razonablemente Buena,2023-05-03 0:00:00
27,"3,00","7,00","81,00",,"11,00","8,00",2023-05-03 1:20:00,Razonablemente Buena,2023-05-03 0:00:00
23,"3,00","1,00","83,00","0,10","15,00","4,00",2023-05-03 1:20:00,Razonablemente Buena,2023-05-03 0:00:00
430,,"5,00",,,"24,00","8,00",2023-05-03 1:20:00,Razonablemente Buena,2023-05-03 0:00:00
829,,"5,00",,,,,2023-05-03 1:20:00,Razonablemente Buena,2023-05-03 0:00:00
26,"3,00","13,00","65,00","0,70","7,00","2,00",2023-05-03 1:20:00,Razonablemente Buena,2023-05-03 0:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 12:20:00,Razonablemente Buena,2023-05-02 23:00:00
26,"3,00","9,00","66,00","0,70","7,00","2,00",2023-05-03 0:20:00,Razonablemente Buena,2023-05-02 23:00:00
28,"2,00","10,00","84,00",,,,2023-05-03 0:20:00,Razonablemente Buena,2023-05-02 23:00:00
22,,"16,00",,,"20,00","8,00",2023-05-03 0:20:00,Buena,2023-05-02 23:00:00
430,,"6,00",,,"24,00","8,00",2023-05-03 0:20:00,Razonablemente Buena,2023-05-02 23:00:00
829,,"7,00",,,,,2023-05-03 0:20:00,Razonablemente Buena,2023-05-02 23:00:00
24,"7,00","65,00","60,00",,,,2023-05-03 0:20:00,Razonablemente Buena,2023-05-02 23:00:00
432,,"78,00",,,"20,00","10,00",2023-05-03 0:20:00,Razonablemente Buena,2023-05-02 23:00:00
25,"2,00","10,00","76,00","0,30","10,00","4,00",2023-05-03 0:20:00,Razonablemente Buena,2023-05-02 23:00:00
27,"3,00","9,00","83,00",,"11,00","8,00",2023-05-03 0:20:00,Razonablemente Buena,2023-05-02 23:00:00
23,"3,00","1,00","83,00","0,10","15,00","5,00",2023-05-03 0:20:00,Razonablemente Buena,2023-05-02 23:00:00
829,,"6,00",,,,,2023-05-02 23:20:00,Razonablemente Buena,2023-05-02 22:00:00
23,"4,00","6,00","84,00","0,10","15,00","5,00",2023-05-02 23:20:00,Razonablemente Buena,2023-05-02 22:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 12:20:00,Razonablemente Buena,2023-05-02 22:00:00
22,,"15,00",,,"20,00","8,00",2023-05-02 23:20:00,Buena,2023-05-02 22:00:00
24,"8,00","47,00","68,00",,,,2023-05-02 23:20:00,Razonablemente Buena,2023-05-02 22:00:00
27,"4,00","7,00","85,00",,"11,00","8,00",2023-05-02 23:20:00,Razonablemente Buena,2023-05-02 22:00:00
432,,"30,00",,,"20,00","10,00",2023-05-02 23:20:00,Buena,2023-05-02 22:00:00
28,"2,00","4,00","87,00",,,,2023-05-02 22:20:00,Razonablemente Buena,2023-05-02 22:00:00
25,"2,00","10,00","78,00","0,30","10,00","4,00",2023-05-02 23:20:00,Razonablemente Buena,2023-05-02 22:00:00
26,"3,00","18,00","65,00","0,70","7,00","2,00",2023-05-02 23:20:00,Razonablemente Buena,2023-05-02 22:00:00
430,,"9,00",,,"24,00","8,00",2023-05-02 23:20:00,Razonablemente Buena,2023-05-02 22:00:00
25,"2,00","11,00","78,00","0,30","10,00","4,00",2023-05-02 22:20:00,Razonablemente Buena,2023-05-02 21:00:00
28,"2,00","4,00","87,00",,,,2023-05-02 22:20:00,Razonablemente Buena,2023-05-02 21:00:00
432,,"63,00",,,"20,00","10,00",2023-05-02 22:20:00,Razonablemente Buena,2023-05-02 21:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 12:20:00,Razonablemente Buena,2023-05-02 21:00:00
27,"4,00","7,00","85,00",,"13,00","10,00",2023-05-02 22:20:00,Razonablemente Buena,2023-05-02 21:00:00
430,,"8,00",,,"24,00","8,00",2023-05-02 22:20:00,Razonablemente Buena,2023-05-02 21:00:00
829,,"8,00",,,,,2023-05-02 22:20:00,Razonablemente Buena,2023-05-02 21:00:00
23,"4,00","50,00","85,00","0,10","15,00","5,00",2023-05-02 22:20:00,Razonablemente Buena,2023-05-02 21:00:00
24,"7,00","41,00","73,00",,,,2023-05-02 22:20:00,Razonablemente Buena,2023-05-02 21:00:00
26,"3,00","44,00","65,00","0,70","7,00","2,00",2023-05-02 22:20:00,Razonablemente Buena,2023-05-02 21:00:00
22,,"23,00",,,"20,00","8,00",2023-05-02 22:20:00,Buena,2023-05-02 21:00:00
25,"2,00","12,00","78,00","0,30","10,00","4,00",2023-05-02 21:20:00,Razonablemente Buena,2023-05-02 20:00:00
28,"2,00","3,00","86,00",,,,2023-05-02 21:20:00,Razonablemente Buena,2023-05-02 20:00:00
27,"4,00","7,00","85,00",,"13,00","10,00",2023-05-02 21:20:00,Razonablemente Buena,2023-05-02 20:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 12:20:00,Razonablemente Buena,2023-05-02 20:00:00
26,"3,00","19,00","69,00","0,70","6,00","2,00",2023-05-02 21:20:00,Razonablemente Buena,2023-05-02 20:00:00
22,,"17,00",,,"20,00","8,00",2023-05-02 21:20:00,Buena,2023-05-02 20:00:00
432,,"26,00",,,"20,00","10,00",2023-05-02 21:20:00,Buena,2023-05-02 20:00:00
23,"4,00","1,00","90,00","0,10","14,00","5,00",2023-05-02 21:20:00,Razonablemente Buena,2023-05-02 20:00:00
24,"6,00","27,00","76,00",,,,2023-05-02 21:20:00,Razonablemente Buena,2023-05-02 20:00:00
430,,"7,00",,,"24,00","8,00",2023-05-02 21:20:00,Razonablemente Buena,2023-05-02 20:00:00
829,,"8,00",,,,,2023-05-02 21:20:00,Razonablemente Buena,2023-05-02 20:00:00
829,,"10,00",,,,,2023-05-02 20:20:00,Razonablemente Buena,2023-05-02 19:00:00
25,"2,00","17,00","78,00","0,30","10,00","4,00",2023-05-02 20:20:00,Razonablemente Buena,2023-05-02 19:00:00
432,,"20,00",,,"20,00","10,00",2023-05-02 20:20:00,Buena,2023-05-02 19:00:00
28,"2,00","3,00","85,00",,,,2023-05-02 20:20:00,Razonablemente Buena,2023-05-02 19:00:00
27,"3,00","7,00","83,00",,"13,00","10,00",2023-05-02 20:20:00,Razonablemente Buena,2023-05-02 19:00:00
24,"7,00","21,00","78,00",,,,2023-05-02 20:20:00,Razonablemente Buena,2023-05-02 19:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 12:20:00,Razonablemente Buena,2023-05-02 19:00:00
23,"4,00","1,00","89,00","0,10","14,00","5,00",2023-05-02 20:20:00,Razonablemente Buena,2023-05-02 19:00:00
22,,"15,00",,,"20,00","8,00",2023-05-02 20:20:00,Buena,2023-05-02 19:00:00
430,,"9,00",,,"24,00","8,00",2023-05-02 20:20:00,Razonablemente Buena,2023-05-02 19:00:00
26,"3,00","14,00","67,00","0,70","6,00","2,00",2023-05-02 20:20:00,Razonablemente Buena,2023-05-02 19:00:00
829,,"8,00",,,,,2023-05-02 19:20:00,Razonablemente Buena,2023-05-02 18:00:00
26,"3,00","15,00","65,00","0,70","6,00","2,00",2023-05-02 19:20:00,Razonablemente Buena,2023-05-02 18:00:00
27,"4,00","7,00","81,00",,"13,00","10,00",2023-05-02 19:20:00,Razonablemente Buena,2023-05-02 18:00:00
431,,"30,00",,,"30,00","18,00",2023-04-26 12:20:00,Razonablemente Buena,2023-05-02 18:00:00
28,"3,00","3,00","84,00",,,,2023-05-02 19:20:00,Razonablemente Buena,2023-05-02 18:00:00
22,,"15,00",,,"19,00","8,00",2023-05-02 19:20:00,Buena,2023-05-02 18:00:00
25,"2,00","9,00","78,00","0,30","10,00","4,00",2023-05-02 19:20:00,Razonablemente Buena,2023-05-02 18:00:00
23,"4,00","0,00","86,00","0,10","14,00","5,00",2023-05-02 19:20:00,Razonablemente Buena,2023-05-02 18:00:00
430,,"8,00",,,"24,00","8,00",2023-05-02 19:20:00,Razonablemente Buena,2023-05-02 18:00:00
432,,"16,00",,,"20,00","10,00",2023-05-02 19:20:00,Buena,2023-05-02 18:00:00
24,"7,00","14,00","79,00",,,,2023-05-02 19:20:00,Razonablemente Buena,2023-05-02 18:00:00
26,"4,00","15,00","61,00","0,70","6,00","2,00",2023-05-02 18:20:00,Razonablemente Buena,2023-05-02 17:00:00
22,,"13,00",,,"19,00","8,00",2023-05-02 18:20:00,Buena,2023-05-02 17:00:00
23,"4,00","1,00","83,00","0,10","14,00","5,00",2023-05-02 18:20:00,Razonablemente Buena,2023-05-02 17:00:00
